taxonomy_id	count
1198014	12
2956562	0
2163979	3
1921531	0
1198013	1
2948662	0
2955700	0
879630	20
2948665	0
227470	0
2880362	13
2955704	0
2053701	3
2948831	0
1914020	0
115992	10
1985328	8
2946800	0
2955358	0
926067	6
2948732	0
2955964	0
1852628	6
2948770	0
2956010	0
1983556	5
2961256	0
1327935	4
2948639	3
1198137	0
1914019	0
75320	1
1912143	0
115987	1
2946160	43
2733100	0
2734102	0
1883366	30
2948904	17
2733120	0
2734126	0
238854	15
3044824	0
3060701	0
2926475	13
2733119	0
2734125	0
869662	8
2733117	0
2734121	6
2734122	0
687803	2
2948898	0
2956426	0
1340810	8
3044866	0
3060825	0
2783669	6
2733139	1
2734151	0
444861	5
2948640	0
2955536	0
1278479	5
2733092	0
2734085	0
2790336	5
2733090	0
2734083	0
754037	5
3044815	0
3060690	0
2783674	4
3044820	0
3060697	0
2781608	3
2733101	0
2734103	0
1815522	3
3044861	0
3060818	0
2783673	3
2733135	0
2734147	0
754039	3
2948729	0
2955958	0
536466	1
2946789	0
2955237	0
1883365	1
3044869	0
3060828	0
2588487	1
2733096	0
2734095	0
2023996	1
2733125	0
2734134	0
445684	1
2733113	0
2734118	0
1883368	1
2169529	0
2175602	0
1785960	34
2841280	0
2841302	0
1978922	4
2169530	0
2169532	1
2169534	1
2169531	0
2169536	0
2846115	0
2301647	1
2169807	0
1654891	1
2841277	0
2841283	0
2686437	2
2841281	0
2841303	0
2584487	2
2841278	0
2169689	0
1262513	1
2843421	49
2846389	0
2650877	203
2846388	0
1654717	1
2846390	0
2601680	1
2842527	64
2852987	0
1147158	49
984175	14
2842814	2
2169923	0
432201	41
2169921	0
1147145	8
2843141	0
2844189	0
2015807	20
2842619	0
2169927	0
1147153	15
2843126	10
2842908	0
2844138	0
1147150	5
2843147	0
2844127	0
1147143	4
2843015	1
2169925	0
906668	2
3424654	20
2733152	7
2734193	0
2283272	37
2734192	0
2283270	27
2733154	7
2748760	0
2927986	36
2734196	0
2283269	8
2733153	7
2734195	0
2283271	32
2734194	0
1211640	5
2733155	22
1204537	0
2927985	8
2770328	0
1211641	4
1211642	3
1211644	0
2927984	3
2842329	5
2843008	0
2846672	0
2108116	48
3044643	0
3044697	18
3059912	0
2509728	13
3044653	1
2842416	0
2842993	8
2845095	0
2419682	9
2845089	0
2596966	5
2169643	3
2170216	0
1173761	3
2842973	0
2170215	0
1540097	1
2842661	0
2844120	0
942016	26
2842972	16
3060635	0
2859656	6
2842641	0
2844071	0
1563661	15
2843161	6
2845968	0
1622116	5
2845967	0
1622115	1
3044858	0
3060807	0
2836086	7
3044852	0
3060796	0
2859072	6
2842422	0
2842544	0
2846069	0
1815984	2
2843019	0
2844087	0
1815983	1
3044789	0
3060549	0
2877946	3
2842417	0
1920762	2
1982594	0
1982595	0
1678082	1
2843162	0
2845969	0
2604899	3
2842739	0
2846232	0
2599764	2
2843122	0
2844164	0
1051675	2
2842423	0
2842758	0
2845970	0
2048976	1
2948690	0
2955844	0
2806547	1
2842412	0
2842786	0
2845088	0
2099850	1
2842586	0
3059853	0
2863195	1
2842934	0
2846607	0
1283071	1
2842828	0
3060164	0
2163965	1
186794	25
329158	9
1647458	152
348058	5
1168548	5
221029	3
1912492	3
1934252	10
10761	0
2905959	1
173443	0
2905963	1
1982875	14
1982880	53
1982889	0
1674927	9
1982892	0
1327760	2
1982885	0
1690425	1
1982887	0
1690428	1
1982888	0
1674926	1
2956117	0
2182319	1
2956118	0
1873996	1
2956121	0
2593360	1
2948847	1
2956237	0
2059882	34
2956235	0
2041205	1
2948656	0
2955597	0
2590946	29
2948647	0
2955567	0
2725628	7
2955564	0
2599888	4
2955566	0
2041206	3
2955568	0
2301715	1
1982879	1
2955572	0
2053672	4
1982883	0
1239386	2
